PlayerName,Age,Team,Bats,Games,PlateAppearances,Doubles,Triples,IntWalks,SacBunts,SacFlies,HitByPitch,StolenBases,CaughtStealing
Jim Acker,27,TOT,R,21,28,1,0,0,0,0,0,0,0
Jim Adduci,26,MIL,L,3,13,1,0,0,1,0,0,0,0
Luis Aguayo,27,PHI,R,62,146,6,1,0,0,2,3,1,1
Rick Aguilera,24,NYM,R,32,57,0,0,0,3,0,0,0,0
Darrel Akerfelds,24,OAK,R,1,0,0,0,0,0,0,0,0,0
Mike Aldrete,25,SFG,L,84,256,18,3,4,4,1,2,1,3
Doyle Alexander,35,TOT,R,18,45,1,0,0,6,1,0,0,0
Andy Allanson,24,CLE,R,101,324,7,3,0,11,4,1,10,1
Bill Almon,33,PIT,R,102,230,7,2,2,1,3,0,11,4
Ed Amelung,27,LAD,L,8,11,0,0,0,0,0,0,0,0
Larry Andersen,33,TOT,R,48,7,0,0,0,1,0,0,0,0
Allan Anderson,22,MIN,L,1,0,0,0,0,0,0,0,0,0
Dave Anderson,25,LAD,R,92,241,9,0,1,2,1,0,5,1
Rick Anderson,29,NYM,R,15,12,0,0,0,1,0,0,0,0
Tony Armas,32,BOS,R,121,453,21,4,1,0,2,2,0,3
Randy Asadoor,23,SDP,R,15,60,5,0,1,2,0,0,1,2
Alan Ashby,34,HOU,S,120,361,15,0,9,1,6,0,1,0
Paul Assenmacher,25,ATL,L,61,8,0,0,0,0,0,0,0,0
Keith Atherton,27,TOT,R,3,0,0,0,0,0,0,0,0,0
Wally Backman,26,NYM,S,124,440,18,2,1,14,3,0,13,7
Scott Bailes,24,CLE,L,1,0,0,0,0,0,0,0,0,0
Mark Bailey,24,HOU,S,57,182,5,0,6,0,1,0,1,1
Harold Baines,27,CHW,L,145,618,29,2,9,0,8,2,2,1
Doug Bair,36,OAK,R,1,0,0,0,0,0,0,0,0,0
Doug Baker,25,DET,S,13,30,1,0,0,4,0,0,0,0
Dusty Baker,37,OAK,R,83,271,8,0,1,0,2,0,0,1
Steve Balboni,29,KCR,R,138,562,25,1,2,0,6,1,0,0
Jay Baller,25,CHC,R,36,6,0,0,0,1,0,0,0,0
Chris Bando,30,CLE,S,92,290,9,0,0,10,3,1,0,1
Jesse Barfield,26,TOR,R,158,671,35,2,5,0,5,8,8,8
Greg Bargar,27,STL,R,22,2,0,0,0,0,0,0,0,0
Marty Barrett,28,BOS,R,158,713,39,4,0,18,4,1,15,7
Kevin Bass,27,HOU,S,157,640,33,5,11,1,4,6,22,13
Bill Bathe,25,OAK,R,39,112,3,0,0,6,0,1,0,0
Don Baylor,37,BOS,R,160,687,23,1,8,0,5,35,3,5
Billy Beane,24,MIN,R,80,194,6,0,0,0,0,0,2,3
Joe Beckwith,31,LAD,L,15,0,0,0,0,0,0,0,0,0
Steve Bedrosian,28,PHI,R,68,6,0,0,0,0,0,0,0,0
Buddy Bell,34,CIN,R,155,655,29,3,4,3,6,5,2,8
George Bell,26,TOR,R,159,690,38,6,3,0,6,2,7,8
Jay Bell,20,CLE,R,5,16,2,0,0,0,0,0,0,0
Terry Bell,23,KCR,R,8,5,0,0,0,0,0,0,0,0
Rafael Belliard,24,PIT,R,117,350,5,2,6,11,1,3,12,2
Bruce Benedict,30,ATL,R,64,183,10,1,1,4,1,2,1,0
Juan Beniquez,36,BAL,R,113,395,15,0,1,2,6,3,2,3
Juan Berenguer,31,SFG,R,46,10,0,0,0,3,0,0,0,0
Bruce Berenyi,31,NYM,R,14,12,0,0,0,1,0,0,0,0
Dave Bergman,33,DET,L,65,151,6,1,0,0,0,0,0,0
Tony Bernazard,29,CLE,S,146,636,28,4,5,7,8,6,17,8
Dale Berra,29,NYY,R,42,121,7,0,0,2,1,1,0,0
Buddy Biancalana,26,KCR,S,100,209,4,4,0,4,0,0,5,1
Mike Bielecki,26,PIT,R,31,54,0,0,0,4,0,0,0,0
Dann Bilardello,27,MON,R,79,212,5,0,3,7,0,0,1,0
Jeff Bittiger,24,PHI,R,3,4,0,0,0,1,0,0,0,0
Vida Blue,36,SFG,S,28,53,1,0,0,4,0,0,0,0
Bruce Bochte,35,OAK,L,125,473,13,1,3,0,1,0,3,2
Bruce Bochy,31,SDP,R,63,142,9,0,3,1,0,0,1,0
Randy Bockus,25,SFG,L,6,1,0,0,0,0,0,0,0,0
Joe Boever,25,STL,R,11,2,0,0,0,0,0,0,0,0
Wade Boggs,28,BOS,L,149,693,47,2,14,4,4,0,0,4
Barry Bonds,21,PIT,L,113,484,26,3,2,2,2,2,36,7
Bobby Bonilla,23,TOT,S,138,496,16,4,3,5,1,2,8,5
Juan Bonilla,30,BAL,R,102,316,10,1,0,4,0,3,0,0
Barry Bonnell,32,SEA,R,17,53,2,0,0,0,1,0,0,1
Greg Booker,26,SDP,R,9,0,0,0,0,0,0,0,0,0
Bob Boone,38,CAL,R,144,503,12,2,1,12,6,0,1,0
Thad Bosley,29,CHC,L,87,139,4,1,3,1,0,0,3,0
Daryl Boston,23,CHW,L,56,224,11,3,3,3,1,0,9,5
Phil Bradley,27,SEA,R,143,615,27,4,1,1,2,8,21,12
Scott Bradley,26,TOT,L,77,241,8,3,4,2,2,4,1,2
Glenn Braggs,23,MIL,R,58,232,8,2,0,2,3,1,1,1
Mickey Brantley,25,SEA,R,27,113,3,2,0,1,0,0,1,1
Sid Bream,25,PIT,L,154,591,37,5,5,1,7,1,13,7
Bob Brenly,32,SFG,R,149,560,26,0,10,5,3,3,10,6
George Brett,33,KCR,L,124,529,28,4,18,0,4,4,1,2
Mike Brewer,26,KCR,R,12,20,1,0,0,0,0,0,0,1
Greg Brock,29,LAD,L,115,367,13,0,5,1,4,0,2,5
Tom Brookens,32,DET,R,98,310,11,2,0,6,2,1,11,8
Hubie Brooks,29,MON,R,80,338,18,5,3,0,5,2,4,2
Bob Brower,26,TEX,R,21,9,1,0,0,0,0,0,1,2
Chris Brown,24,SFG,R,116,463,16,3,4,0,5,9,13,9
Curt Brown,26,MON,R,6,1,0,0,0,0,0,0,0,0
Mike Brown,26,PIT,R,87,273,7,0,3,0,3,0,2,3
Jerry Browne,20,TEX,S,12,25,2,0,0,0,0,0,0,2
Tom Browning,26,CIN,L,46,94,0,0,0,7,0,0,1,0
Tom Brunansky,25,MIN,R,157,655,28,1,4,1,7,1,12,4
Ralph Bryant,25,LAD,L,27,82,4,2,0,0,1,1,0,1
Bill Buckner,36,BOS,L,153,681,39,2,9,0,8,4,6,4
Steve Buechele,24,TEX,R,153,513,19,2,1,9,3,5,5,8
Eric Bullock,26,HOU,L,6,21,0,0,0,0,0,0,2,0
Tim Burke,27,MON,R,68,9,0,0,0,1,0,0,0,0
Rick Burleson,35,CAL,R,93,312,14,0,1,6,1,1,1,3
Ray Burris,35,STL,R,23,27,3,0,0,0,0,0,0,0
Randy Bush,27,MIN,L,130,402,19,7,2,1,1,4,5,3
Sal Butera,33,CIN,R,56,137,6,1,3,2,1,0,0,0
Brett Butler,29,CLE,L,161,683,17,14,1,17,5,4,32,15
Enos Cabell,36,LAD,R,107,298,11,0,2,2,3,2,10,4
Ivan Calderon,24,TOT,R,50,174,7,1,1,0,0,1,3,1
Jeff Calhoun,28,HOU,L,20,0,0,0,0,0,0,0,0,0
Bill Campbell,37,DET,R,1,0,0,0,0,0,0,0,0,0
Casey Candaele,25,MON,S,30,110,4,1,0,0,1,0,3,5
John Cangelosi,23,CHW,S,137,525,16,3,0,6,3,7,50,17
Jose Canseco,21,OAK,R,157,682,29,1,1,0,9,8,15,7
Steve Carlton,41,TOT,L,22,47,1,0,0,1,0,0,0,0
Don Carman,26,PHI,L,50,33,0,0,0,2,0,0,0,0
Gary Carter,32,NYM,R,132,573,14,2,9,0,15,6,1,0
Joe Carter,26,CLE,R,162,709,36,9,3,1,8,5,29,7
Carmelo Castillo,28,CLE,R,85,217,9,0,0,1,1,1,2,1
Juan Castillo,24,MIL,S,26,62,0,1,0,2,0,1,1,1
Cesar Cedeno,35,LAD,R,37,87,2,1,0,2,0,0,1,1
Rick Cerone,32,MIL,R,68,242,14,0,0,5,5,1,1,1
Ron Cey,38,CHC,R,97,306,21,0,1,1,2,3,0,0
Chris Chambliss,37,ATL,L,97,138,8,0,4,0,1,0,0,2
Rocky Childress,24,PHI,R,2,0,0,0,0,0,0,0,0,0
Steve Christmas,28,CHC,L,3,9,1,0,0,0,0,0,0,0
Dave Clark,23,CLE,L,18,68,1,0,0,2,1,0,1,0
Jack Clark,30,STL,R,65,280,12,2,4,0,1,1,1,1
Will Clark,22,SFG,L,111,458,27,2,10,9,4,3,4,7
