ID,Age,Gender,Religiosity,Race,Aware,Cheated,Total_Cheat
P001,6.81095890410959,Girl,6,Asian,NA,1,1
P002,6.27671232876712,Boy,17,Other,NA,1,3
P003,6.04657534246575,Girl,20,Asian,NA,1,3
P004,6.62739726027397,Boy,0,Other,NA,0,0
P006,6.76986301369863,Girl,0,Asian,NA,0,0
P007,6.90958904109589,Boy,4,White,NA,0,3
P008,5.33698630136986,Boy,6,Other,NA,0,3
P010,6.27671232876712,Girl,14,White,NA,1,4
P012,6.00821917808219,Boy,7,Asian,NA,1,4
P013,6.00821917808219,Girl,9,Other,NA,1,4
P014,8.83561643835616,Girl,7,Other,NA,1,3
P015,8.67123287671233,Girl,0,Other,NA,0,1
P017,6.7972602739726,Boy,19,Other,NA,1,2
P018,10.783561643835617,Girl,0,Asian,NA,0,0
P019,7.09315068493151,Boy,17,Asian,NA,0,5
P020,5.33972602739726,Girl,17,Asian,NA,1,6
P021,8.01917808219178,Boy,3,Other,NA,0,1
P023,6.55342465753425,Girl,1,Asian,NA,1,2
P024,6.558904109589041,Girl,4,Asian,NA,1,4
P025,7.32876712328767,Boy,2,Asian,NA,1,2
P027,7.48767123287671,Girl,0,Asian,NA,0,3
P028,4.78630136986301,Girl,2,Asian,NA,1,5
P029,7.1013698630137,Boy,1,Asian,NA,0,1
P031,7.39178082191781,Boy,6,Asian,NA,1,5
P032,6.42191780821918,Boy,0,White,NA,1,5
P033,7.7041095890411,Girl,0,White,NA,0,0
P035,7.07397260273973,Girl,6,Asian,0,1,2
P036,4.38904109589041,Girl,4,Asian,NA,0,5
P037,7.83287671232877,Girl,6,Asian,NA,0,0
P038,6.15342465753425,Boy,21,Asian,NA,1,3
P039,5.2,Girl,10,White,NA,0,2
P040,5.82191780821918,Boy,6,Asian,NA,0,0
P042,7.46849315068493,Boy,11,Asian,NA,1,1
P043,7.67397260273973,Boy,4,Asian,NA,1,1
P044,6.17260273972603,Boy,12,White,0,0,4
P046,4.63835616438356,Boy,8,Asian,NA,1,6
P049,4.353424657534247,Boy,0,White,NA,1,6
P053,6.89041095890411,Girl,9,Asian,NA,1,5
P054,7.27671232876712,Boy,10,Other,NA,1,4
P055,8.85753424657534,Girl,7,Asian,NA,1,6
P056,7.4986301369863,Girl,7,White,0,1,6
P057,7.98356164383562,Girl,13,White,1,0,1
P059,10.638356164383561,Girl,15,Other,1,0,0
P060,9.57534246575342,Girl,14,White,1,0,0
P061,7.33424657534247,Girl,15,White,0,0,1
P062,5.05753424657534,Boy,13,White,0,0,3
P066,4.5013698630137,Boy,16,Asian,0,1,5
P067,5.22739726027397,Boy,22,Asian,0,1,2
P068,5.66849315068493,Boy,18,Asian,0,1,5
P069,5.24109589041096,Boy,16,Asian,0,0,2
P076,4.441095890410959,Boy,14,Asian,0,0,4
P078,4.36164383561644,Girl,5,Asian,0,1,5
P080,8.17534246575342,Girl,6,Other,0,1,5
P081,7.97260273972603,Boy,6,Asian,0,0,0
P083,5.07123287671233,Boy,20,Asian,0,1,6
P084,9.98082191780822,Girl,18,White,0,0,1
P085,5.26849315068493,Girl,0,White,0,1,5
P086,7.92328767123288,Boy,0,White,0,1,5
P087,4.78082191780822,Boy,5,Other,0,1,6
P089,8.81643835616438,Boy,5,Other,1,0,0
P090,4.61369863013699,Girl,19,Asian,0,0,1
P091,7.57808219178082,Boy,9,Asian,0,0,1
P092,5.78082191780822,Girl,0,White,0,1,2
P093,4.19178082191781,Girl,1,White,0,0,2
P094,10.863013698630137,Boy,0,Asian,0,0,0
P095,9.56986301369863,Girl,21,Asian,NA,1,3
P096,6.21643835616438,Girl,21,Asian,0,0,1
P097,6.47945205479452,Boy,6,Asian,0,1,5
P098,8.95342465753425,Boy,21,Asian,0,0,0
P099,6.21369863013699,Boy,21,Asian,0,1,3
P100,6.0027397260274,Girl,0,Asian,0,0,2
P101,9.43835616438356,Boy,12,White,NA,0,4
P102,7.81369863013699,Girl,12,White,0,0,4
P103,5.10958904109589,Girl,12,White,0,0,5
P104,9.95890410958904,Girl,20,Asian,0,0,0
P105,10.471232876712328,Boy,14,Other,0,1,2
P106,6.506849315068493,Boy,14,Asian,0,1,5
P107,8.95890410958904,Girl,14,Asian,0,1,2
P108,4.18082191780822,Boy,16,White,0,1,6
P109,6.88493150684932,Boy,16,White,0,1,6
P110,5.65479452054795,Girl,15,Other,0,1,5
P111,4.161643835616438,Boy,21,White,0,1,4
P112,6.15068493150685,Boy,21,White,NA,1,5
P113,8.38904109589041,Girl,20,White,0,0,0
P114,6,Boy,16,Other,0,0,4
P115,7.84657534246575,Girl,20,Asian,0,0,0
P119,10.336986301369864,Boy,8,White,0,0,1
P122,7.24383561643836,Boy,15,Asian,0,1,3
P123,6.24657534246575,Girl,21,Asian,0,1,6
P124,8.23835616438356,Boy,21,Asian,0,1,3
P125,6.9972602739726,Boy,20,White,0,1,6
P126,4.77534246575342,Boy,21,White,0,1,6
P128,4.93150684931507,Boy,0,White,NA,1,6
P129,7.24657534246575,Girl,0,White,0,1,6
P130,10.95068493150685,Boy,0,White,0,1,3
P131,9.65479452054795,Boy,11,White,1,0,0
P134,8.3041095890411,Boy,15,White,0,1,2
P135,9.39178082191781,Girl,17,White,0,1,5
P137,5.043835616438356,Girl,18,Asian,0,1,5
P138,5.85479452054795,Girl,15,White,0,1,6
P139,9.7013698630137,Girl,4,White,0,1,5
P140,8.5041095890411,Boy,19,White,0,0,0
P141,6.72602739726027,Girl,2,White,0,1,5
P143,7.99452054794521,Girl,4,White,0,0,0
P144,8.24383561643836,Girl,3,Other,0,1,5
P145,9.32602739726027,Girl,3,Other,1,0,1
P146,9.78356164383562,Boy,19,Asian,0,1,3
P147,6.86849315068493,Boy,0,White,0,1,5
P148,4.9972602739726,Boy,5,White,0,0,0
P149,9.92328767123288,Girl,2,Asian,0,0,0
P150,7.85479452054795,Girl,1,Asian,0,0,1
P153,8.84383561643836,Boy,2,White,0,1,5
P154,9.22191780821918,Girl,20,Asian,0,0,1
P155,9.205479452054794,Boy,2,White,0,1,4
P156,5.1013698630137,Girl,2,White,0,1,3
P157,7.515068493150685,Girl,20,Asian,0,1,6
P158,5.47123287671233,Boy,20,Asian,NA,1,6
P161,6.3013698630137,Girl,0,Asian,0,0,1
P162,5.08219178082192,Boy,7,Asian,1,1,3
P163,7.13424657534247,Boy,7,Asian,0,0,1
P164,6.66301369863014,Girl,21,Asian,0,1,5
P165,7.53150684931507,Girl,4,White,0,0,2
P167,8.76438356164384,Girl,1,Asian,0,1,1
P168,5.91506849315068,Girl,1,Asian,0,1,2
P169,9.1041095890411,Girl,14,Asian,0,0,1
P170,5.86301369863014,Boy,13,Other,0,1,4
P171,7.66575342465753,Boy,10,Other,0,1,4
P172,9.61917808219178,Boy,9,Other,0,0,0
P174,6.52054794520548,Girl,8,White,0,1,3
P175,4.83287671232877,Girl,8,White,0,0,2
P176,6.47945205479452,Boy,0,White,0,0,1
P178,5.44657534246575,Girl,0,Asian,0,1,4
P179,4.34520547945205,Girl,1,Other,0,1,5
P180,5.07123287671233,Girl,0,Other,0,1,6
P181,4.32328767123288,Boy,0,White,0,1,4
P182,7.98630136986301,Girl,1,Asian,0,1,3
P184,5.10958904109589,Boy,20,White,0,1,4
P186,7.66849315068493,Girl,20,White,0,0,3
P187,9.912328767123288,Boy,20,White,0,0,1
P189,7.4958904109589,Boy,0,Asian,0,1,2
P190,4.81369863013699,Boy,0,Asian,0,0,0
P194,7.76438356164384,Girl,19,White,0,0,1
P195,5.419178082191781,Boy,19,White,0,1,4
P196,10.150684931506849,Boy,17,White,0,1,4
P197,7.42465753424658,Girl,17,White,0,1,6
P198,7.624657534246575,Boy,16,Other,0,1,3
P199,4.92602739726027,Boy,16,Other,0,0,3
P200,8.712328767123287,Girl,4,Asian,NA,0,0
P201,5.88493150684932,Girl,4,Asian,NA,0,3
P202,6.93150684931507,Boy,4,Other,0,0,2
P205,10.405479452054795,Girl,2,Asian,0,1,3
P206,6.82191780821918,Girl,2,Asian,0,1,4
P209,8.624657534246575,Boy,2,Asian,0,1,3
P210,6.25205479452055,Boy,2,Asian,0,1,4
P211,9.18082191780822,Girl,0,White,0,1,5
P212,7.44657534246575,Girl,1,White,0,0,2
P213,7.65479452054795,Girl,0,Asian,0,1,6
P214,7.75616438356164,Boy,20,Other,0,0,1
P215,5.92876712328767,Girl,0,Asian,0,0,4
P216,10.479452054794521,Girl,17,Asian,0,1,3
P217,8.35342465753425,Girl,17,Asian,0,0,0
P218,7.89041095890411,Boy,2,Asian,0,0,0
P219,10.947945205479453,Boy,10,Other,0,0,2
P220,10.534246575342467,Boy,5,Other,1,1,2
P221,6.580821917808219,Boy,3,Other,0,0,0
P222,9.956164383561644,Girl,2,Asian,0,0,0
P223,7.087671232876712,Boy,2,Asian,0,1,6
P224,7.64383561643836,Girl,13,Other,1,1,4
P225,5.56164383561644,Girl,13,Other,0,1,5
P226,9.02191780821918,Girl,9,White,0,0,0
P227,4.80547945205479,Boy,7,White,0,0,1
P228,6.05753424657534,Girl,0,Asian,0,1,5
P229,6.37808219178082,Girl,5,White,0,1,6
P230,6.82739726027397,Girl,0,White,0,1,4
P231,10.96986301369863,Girl,0,White,0,0,0
P232,7.62739726027397,Girl,0,White,0,0,1
P234,6.73150684931507,Boy,0,White,0,1,5
P235,7.4958904109589,Girl,19,White,0,1,4
P236,10.75068493150685,Boy,9,Other,0,0,0
P237,7.04657534246575,Girl,5,Other,0,1,5
P238,6.90958904109589,Boy,8,Asian,0,0,2
P239,9.868493150684932,Girl,1,Asian,0,0,0
P240,7.86849315068493,Girl,1,Asian,0,0,1
P241,6.73698630136986,Girl,0,Asian,0,0,0
P242,4.88493150684932,Girl,20,Asian,0,1,4
P243,9.35616438356164,Boy,8,Asian,0,1,2
P244,5.39178082191781,Boy,8,Asian,0,1,5
P245,7.98630136986301,Boy,12,Other,NA,1,5
P246,4.14520547945205,Girl,6,Asian,0,1,5
P247,8.8027397260274,Boy,0,Asian,0,1,5
P248,4.81917808219178,Boy,0,Asian,NA,1,2
P249,8.53150684931507,Girl,6,White,0,0,1
P250,6.20821917808219,Girl,5,White,0,0,0
P251,7.18082191780822,Girl,11,Asian,0,1,5
P252,8.07123287671233,Girl,0,Asian,0,0,0
P253,5.56986301369863,Girl,0,Asian,0,0,1
P254,4.095890410958904,Girl,8,White,0,1,5
P255,6.9972602739726,Girl,18,Asian,0,1,2
