screening_year,age_at_screening,priors,sex,race,recid,compas_recid
2013,66,0,Male,Other,no,not high risk
2013,31,0,Male,African-American,yes,not high risk
2013,19,1,Male,African-American,no,high risk
2013,40,2,Male,Other,no,not high risk
2013,42,0,Male,Other,no,not high risk
2013,40,3,Male,Other,no,not high risk
2014,37,0,Female,Caucasian,no,not high risk
2013,19,1,Male,Caucasian,yes,not high risk
2013,25,0,Male,Caucasian,no,not high risk
2013,34,0,Female,Caucasian,no,not high risk
2013,38,0,Male,African-American,no,not high risk
2014,35,0,Male,Hispanic,no,not high risk
2013,23,3,Male,African-American,no,high risk
2013,28,6,Male,Caucasian,yes,not high risk
2013,18,0,Female,Caucasian,no,not high risk
2013,40,1,Male,Caucasian,no,not high risk
2013,29,0,Male,Other,no,not high risk
2013,24,8,Male,African-American,yes,not high risk
2013,33,3,Female,Caucasian,no,not high risk
2014,31,0,Male,African-American,yes,high risk
2013,53,0,Male,Caucasian,no,not high risk
2013,23,6,Male,Caucasian,no,high risk
2013,25,0,Male,Caucasian,no,not high risk
2013,19,2,Female,African-American,no,high risk
2013,48,2,Male,African-American,no,not high risk
2013,48,7,Female,African-American,no,not high risk
2014,23,9,Male,Caucasian,yes,high risk
2014,33,13,Male,African-American,yes,high risk
2013,46,0,Male,Caucasian,no,not high risk
2013,26,0,Male,African-American,no,not high risk
2013,26,0,Female,Other,no,not high risk
2014,61,1,Female,Hispanic,no,not high risk
2013,28,15,Male,African-American,yes,not high risk
2013,27,0,Male,Hispanic,no,not high risk
2013,46,4,Male,African-American,no,not high risk
2013,50,8,Male,Caucasian,no,not high risk
2013,32,5,Male,African-American,no,not high risk
2013,58,0,Male,Hispanic,no,not high risk
2014,31,0,Male,Other,no,not high risk
2013,53,0,Female,African-American,no,not high risk
2013,42,6,Male,Hispanic,yes,not high risk
2013,19,1,Male,Hispanic,no,not high risk
2013,36,1,Male,African-American,no,not high risk
2013,37,2,Male,African-American,no,not high risk
2013,19,0,Male,Caucasian,no,high risk
2013,24,1,Female,African-American,yes,not high risk
2014,25,1,Male,Caucasian,yes,not high risk
2013,29,0,Male,African-American,no,not high risk
2013,38,1,Male,African-American,no,not high risk
2013,26,8,Male,African-American,yes,high risk
2013,22,14,Male,African-American,yes,high risk
2013,18,0,Male,Other,yes,not high risk
2013,32,1,Female,African-American,no,not high risk
2014,23,9,Male,Caucasian,yes,high risk
2013,68,12,Male,African-American,no,not high risk
2013,18,0,Female,Caucasian,no,not high risk
2013,64,3,Male,Caucasian,no,not high risk
2013,51,0,Female,Caucasian,no,not high risk
2013,42,0,Female,Hispanic,no,not high risk
2014,18,1,Male,African-American,yes,not high risk
2014,22,1,Male,African-American,no,not high risk
2013,28,1,Male,African-American,no,not high risk
2013,36,0,Female,Caucasian,yes,not high risk
2013,27,0,Male,Caucasian,no,not high risk
2014,29,0,Male,Caucasian,no,not high risk
2013,36,1,Female,Caucasian,no,not high risk
2014,57,14,Male,African-American,yes,high risk
2013,40,1,Male,Caucasian,no,not high risk
2013,30,0,Male,Caucasian,no,not high risk
2013,35,3,Male,African-American,no,not high risk
2013,29,1,Male,African-American,no,not high risk
2013,28,1,Female,Other,no,not high risk
2013,27,13,Male,Caucasian,yes,high risk
2013,53,8,Male,African-American,no,high risk
2013,50,3,Male,Caucasian,no,high risk
2014,62,2,Female,Caucasian,no,not high risk
2013,39,6,Male,Caucasian,no,not high risk
2013,22,2,Female,Caucasian,no,not high risk
2013,28,1,Male,Caucasian,no,not high risk
2013,26,2,Male,Caucasian,no,not high risk
2013,35,2,Female,Other,no,not high risk
2014,22,0,Female,African-American,no,not high risk
2014,28,4,Female,Hispanic,yes,not high risk
2013,27,1,Male,African-American,yes,not high risk
2013,42,4,Female,Caucasian,no,not high risk
2013,18,1,Female,African-American,no,high risk
2013,40,0,Female,Caucasian,no,not high risk
2014,31,11,Male,African-American,yes,not high risk
2013,31,8,Male,African-American,yes,not high risk
2013,18,0,Female,African-American,no,not high risk
2014,24,0,Female,Caucasian,no,not high risk
2014,61,1,Male,Hispanic,no,not high risk
2014,30,4,Female,African-American,yes,high risk
2013,27,1,Male,Hispanic,no,not high risk
2013,43,1,Female,Other,no,not high risk
2013,52,3,Male,African-American,no,not high risk
2014,37,1,Male,Caucasian,no,not high risk
2013,27,1,Male,African-American,no,not high risk
2013,46,2,Male,Caucasian,no,not high risk
2013,19,1,Male,African-American,no,not high risk
2014,47,6,Female,Caucasian,no,not high risk
2013,28,0,Male,Caucasian,no,not high risk
2013,20,0,Male,Hispanic,no,not high risk
2013,29,5,Female,African-American,no,not high risk
2013,49,2,Male,Hispanic,no,not high risk
2013,58,8,Male,African-American,no,not high risk
