marker,pvalue
Granulocytes_VDAC1_Unstim,0.544809569063388
Granulocytes_VDAC1_LPS,0.475550655835523
Granulocytes_VDAC1_IL246,0.0920339281496106
Granulocytes_VDAC1_IL18,0.270812774448875
Granulocytes_GLUT1_Unstim,0.292236547075381
Granulocytes_GLUT1_LPS,0.9665232243378
Granulocytes_GLUT1_IL246,0.610313217181188
Granulocytes_GLUT1_IL18,0.687900758741793
Granulocytes_CPT1a_Unstim,0.222046323155876
Granulocytes_CPT1a_LPS,0.272555859192612
Granulocytes_CPT1a_IL246,0.756733648750368
Granulocytes_CPT1a_IL18,0.234389186712822
Granulocytes_pCREB_Unstim,0.00249635119763272
Granulocytes_pCREB_LPS,1.87519994405539e-4
Granulocytes_pCREB_IL246,0.83378773741967
Granulocytes_pCREB_IL18,0.330410921130078
Granulocytes_pSTAT5_Unstim,0.720539575916124
Granulocytes_pSTAT5_IL246,0.126294385437418
Granulocytes_pP38_Unstim,0.0331640070544099
Granulocytes_pP38_LPS,0.129294958023327
Granulocytes_pP38_IL18,0.0537812878983812
Granulocytes_pSTAT1_Unstim,0.160133032638587
Granulocytes_pSTAT3_Unstim,0.229704849185938
Granulocytes_pSTAT3_IL246,0.988838162851015
Granulocytes_prpS6_Unstim,0.947416316777446
Granulocytes_prpS6_LPS,0.22356321049326
Granulocytes_prpS6_IL246,0.146241828508855
Granulocytes_prpS6_IL18,0.687900758741793
Granulocytes_PD-L1_Unstim,0.3934517014738
Granulocytes_PD-L1_LPS,0.796552768560577
Granulocytes_PD-L1_IL246,0.775038586934566
Granulocytes_PD-L1_IL18,0.12141427661592
Granulocytes_CD44_Unstim,0.451180943658404
Granulocytes_CD44_LPS,0.76892247532419
Granulocytes_CD44_IL246,0.921989297483472
Granulocytes_CD44_IL18,0.582595741630551
Granulocytes_pNFkB_Unstim,0.194614266040038
Granulocytes_pNFkB_LPS,0.714565143878602
Granulocytes_pNFkB_IL246,0.995216228130815
Granulocytes_pNFkB_IL18,0.312849887642495
Granulocytes_pERK1-2_Unstim,0.0532875523633945
Granulocytes_pERK1-2_LPS,0.12141427661592
Granulocytes_pERK1-2_IL246,0.632899442688019
Granulocytes_pERK1-2_IL18,0.115754249411397
Granulocytes_pSTAT6_Unstim,0.310449032807584
Granulocytes_pSTAT6_IL246,0.465717113964911
Granulocytes_pPLCg1_Unstim,0.211634227547474
Granulocytes_pPLCg1_LPS,0.714565143878602
Granulocytes_pPLCg1_IL246,0.988838162851015
Granulocytes_pPLCg1_IL18,0.91247327938168
Granulocytes_CXCR4_Unstim,0.723533229077038
Granulocytes_CXCR4_LPS,0.500625257144276
Granulocytes_CXCR4_IL246,0.193242624552938
Granulocytes_CXCR4_IL18,0.99840540088491
Granulocytes_CD62L_Unstim,0.217539926950192
Granulocytes_CD62L_LPS,0.167282758956286
Granulocytes_CD62L_IL246,0.508282055529881
Granulocytes_CD62L_IL18,0.114831408144153
Granulocytes_HK2_Unstim,0.821330182897195
Granulocytes_HK2_IL246,0.9029697956152
Granulocytes_HK2_IL18,0.373816055104529
Granulocytes_CD63_Unstim,0.601936592328434
Granulocytes_CD63_LPS,0.647193494659962
Granulocytes_CD63_IL246,0.0762783488887848
Granulocytes_CD63_IL18,0.985649372213776
Eosinophil_VDAC1_Unstim,0.478026717100792
Eosinophil_VDAC1_LPS,0.928339604900944
Eosinophil_VDAC1_IL246,0.232820280130848
Eosinophil_VDAC1_IL18,0.899804986267321
Eosinophil_GLUT1_Unstim,0.655833259247299
Eosinophil_GLUT1_LPS,0.47308164577615
Eosinophil_GLUT1_IL246,0.771978760057143
Eosinophil_GLUT1_IL18,0.717550200323597
Eosinophil_CPT1a_Unstim,0.493030046480314
Eosinophil_CPT1a_LPS,0.316698222283263
Eosinophil_CPT1a_IL246,0.86825264596516
Eosinophil_CPT1a_IL18,0.702668934191952
Eosinophil_pCREB_Unstim,0.120456189965836
Eosinophil_pCREB_LPS,0.00644958953251778
Eosinophil_pCREB_IL246,0.906136147501942
Eosinophil_pCREB_IL18,0.358971030378022
Eosinophil_pSTAT5_Unstim,0.843158544551401
Eosinophil_pSTAT5_IL246,0.326454358333454
Eosinophil_pP38_Unstim,0.0456599075769553
Eosinophil_pP38_LPS,0.0817319803786288
Eosinophil_pP38_IL18,0.950598999767901
Eosinophil_pSTAT1_Unstim,0.170561284615243
Eosinophil_pSTAT3_Unstim,0.309032476924964
Eosinophil_pSTAT3_IL246,0.588092045381718
Eosinophil_prpS6_Unstim,0.8494181952811
Eosinophil_prpS6_LPS,0.0975628558269507
Eosinophil_prpS6_IL246,0.242346044876876
Eosinophil_prpS6_IL18,0.263916928161143
Eosinophil_PD-L1_Unstim,0.4322048771206
Eosinophil_PD-L1_LPS,0.171000388623915
Eosinophil_PD-L1_IL246,0.352723921339142
Eosinophil_PD-L1_IL18,0.699706090183384
Eosinophil_CD44_Unstim,0.972897011293104
Eosinophil_CD44_LPS,0.874548000697731
Eosinophil_CD44_IL246,0.827553536649439
Eosinophil_CD44_IL18,0.274306605129595
Eosinophil_pNFkB_Unstim,0.508258192270969
