.pred_class,.pred_Case,.pred_Control,id,Group,.row,.config
Control,0.10864597055731928,0.8913540294426807,Fold01,Control,14,pre0_mod0_post0
Case,0.7266835191661223,0.2733164808338777,Fold01,Case,26,pre0_mod0_post0
Case,0.5450827201577421,0.45491727984225794,Fold01,Case,27,pre0_mod0_post0
Case,0.692852443666092,0.307147556333908,Fold01,Case,32,pre0_mod0_post0
Control,0.33749070706609063,0.6625092929339094,Fold01,Control,40,pre0_mod0_post0
Control,0.4670649561578416,0.5329350438421584,Fold01,Control,56,pre0_mod0_post0
Case,0.5880478762547798,0.4119521237452202,Fold01,Control,57,pre0_mod0_post0
Control,0.2788932210009403,0.7211067789990597,Fold02,Control,4,pre0_mod0_post0
Control,0.16625376817425253,0.8337462318257475,Fold02,Case,8,pre0_mod0_post0
Control,0.007101575713257757,0.9928984242867422,Fold02,Control,21,pre0_mod0_post0
Case,0.6916181587084502,0.3083818412915497,Fold02,Case,51,pre0_mod0_post0
Case,0.5470213040613081,0.4529786959386919,Fold02,Control,53,pre0_mod0_post0
Case,0.6746577668204456,0.3253422331795544,Fold02,Case,61,pre0_mod0_post0
Control,0.48470056056527255,0.5152994394347274,Fold02,Control,66,pre0_mod0_post0
Control,0.402362606317038,0.597637393682962,Fold03,Control,9,pre0_mod0_post0
Case,0.7721392656533645,0.22786073434663548,Fold03,Case,13,pre0_mod0_post0
Case,0.5571702092763122,0.4428297907236878,Fold03,Control,25,pre0_mod0_post0
Control,0.36691715917075385,0.6330828408292462,Fold03,Case,31,pre0_mod0_post0
Case,0.5392625412302483,0.46073745876975164,Fold03,Case,35,pre0_mod0_post0
Control,0.3678948761275458,0.6321051238724542,Fold03,Control,46,pre0_mod0_post0
Case,0.5340766033641309,0.4659233966358691,Fold03,Control,52,pre0_mod0_post0
Control,0.19623766944777055,0.8037623305522295,Fold04,Case,18,pre0_mod0_post0
Control,0.2723379256570042,0.7276620743429958,Fold04,Control,19,pre0_mod0_post0
Control,0.10326158005224462,0.8967384199477554,Fold04,Control,20,pre0_mod0_post0
Control,0.41237345221969146,0.5876265477803085,Fold04,Control,28,pre0_mod0_post0
Control,0.3228976018153872,0.6771023981846128,Fold04,Control,45,pre0_mod0_post0
Control,0.39746965465671535,0.6025303453432846,Fold04,Case,59,pre0_mod0_post0
Control,0.2319140269987704,0.7680859730012296,Fold04,Case,60,pre0_mod0_post0
Control,0.390872917490796,0.609127082509204,Fold05,Control,2,pre0_mod0_post0
Case,0.5859263951158946,0.4140736048841054,Fold05,Control,3,pre0_mod0_post0
Control,0.04731095559043841,0.9526890444095616,Fold05,Control,24,pre0_mod0_post0
Case,0.6467484029233594,0.3532515970766406,Fold05,Case,34,pre0_mod0_post0
Control,0.3648430194495673,0.6351569805504327,Fold05,Case,54,pre0_mod0_post0
Case,0.5319559859159873,0.4680440140840128,Fold05,Case,62,pre0_mod0_post0
Case,0.566087167428755,0.433912832571245,Fold05,Control,63,pre0_mod0_post0
Case,0.7703379032677924,0.22966209673220755,Fold06,Case,6,pre0_mod0_post0
Control,0.29924281354557314,0.7007571864544269,Fold06,Control,7,pre0_mod0_post0
Control,0.13068090982121106,0.869319090178789,Fold06,Control,16,pre0_mod0_post0
Control,0.053762482015426216,0.9462375179845738,Fold06,Control,22,pre0_mod0_post0
Case,0.6090769274934504,0.3909230725065495,Fold06,Case,23,pre0_mod0_post0
Case,0.6793731510966983,0.32062684890330173,Fold06,Control,36,pre0_mod0_post0
Control,0.11119107013630536,0.8888089298636946,Fold06,Case,64,pre0_mod0_post0
Case,0.5082928726645217,0.4917071273354783,Fold07,Control,5,pre0_mod0_post0
Control,0.453020638889587,0.546979361110413,Fold07,Case,12,pre0_mod0_post0
Case,0.8447454016122856,0.15525459838771435,Fold07,Control,37,pre0_mod0_post0
Control,0.09912451165268366,0.9008754883473163,Fold07,Case,44,pre0_mod0_post0
Control,0.25900602915136783,0.7409939708486322,Fold07,Control,48,pre0_mod0_post0
Control,0.20557370720936696,0.794426292790633,Fold07,Control,49,pre0_mod0_post0
Case,0.93125454729929,0.06874545270071002,Fold07,Case,58,pre0_mod0_post0
Control,0.36277580005325705,0.637224199946743,Fold08,Control,11,pre0_mod0_post0
Case,0.9469509305798713,0.053049069420128686,Fold08,Case,29,pre0_mod0_post0
Case,0.6387302984892809,0.3612697015107191,Fold08,Case,33,pre0_mod0_post0
Control,0.31906302501594186,0.6809369749840581,Fold08,Control,43,pre0_mod0_post0
Control,0.35151952964698185,0.6484804703530181,Fold08,Control,47,pre0_mod0_post0
Case,0.6328553217081956,0.36714467829180436,Fold08,Control,50,pre0_mod0_post0
Case,0.5193550502215405,0.4806449497784595,Fold08,Case,65,pre0_mod0_post0
Control,0.3823360463428097,0.6176639536571903,Fold09,Case,10,pre0_mod0_post0
Control,0.12338492416813918,0.8766150758318608,Fold09,Case,15,pre0_mod0_post0
Control,0.1034735571278863,0.8965264428721137,Fold09,Control,17,pre0_mod0_post0
Control,0.25657135872188597,0.743428641278114,Fold09,Control,39,pre0_mod0_post0
Control,0.42784524982744543,0.5721547501725546,Fold09,Control,55,pre0_mod0_post0
Control,0.31928295253938055,0.6807170474606195,Fold10,Control,1,pre0_mod0_post0
Case,0.8651631528683049,0.1348368471316951,Fold10,Case,30,pre0_mod0_post0
Control,0.4401776906076823,0.5598223093923177,Fold10,Control,38,pre0_mod0_post0
Control,0.33823698452846607,0.6617630154715339,Fold10,Control,41,pre0_mod0_post0
Control,0.19644169759707397,0.803558302402926,Fold10,Case,42,pre0_mod0_post0
