Name,Location,HBCU,HSI,Admission_Rate,SAT,Undergraduates,Average_Total_Cost,Instructional_Expenditure,Faculty_Salary,Full_Time_Faculty,Pell_Grant,Retention_Rate,Federal_Loan,Default_Rate,Proportion_Men,Endowment
University of Alabama at Birmingham,Urban,0,0,0.806,1245,14969,25542,14691,11380,0.7619,0.3563,0.864,0.5026,0.048,0.3816,537.35
University of Alabama in Huntsville,Urban,0,0,0.7711,1300,8898,24861,8320,9697,0.6702,0.2304,0.818,0.4083,0.047,0.5891,77.25
Alabama State University,Urban,1,0,0.9888,938,4127,21892,9579,7194,0.6797,0.759,0.6202,0.684,0.128,0.3605,94.54
The University of Alabama,Urban,0,0,0.8039,1262,35872,30016,9650,10349,0.7707,0.172,0.8723,0.3898,0.04,0.4417,946.69
Auburn University at Montgomery,Urban,0,0,0.9555,1061,5274,20225,6289,7729,0.7087,0.5581,0.6972,0.5781,0.082,0.3367,51.12
Auburn University,Urban,0,0,0.8507,1302,26235,32196,8361,10722,0.8654,0.0996,0.9197,0.2823,0.026,0.5135,774.53
Jacksonville State University,Suburban,0,0,0.6369,1084,8916,21560,7183,7326,0.7803,0.5412,0.7338,0.6201,0.063,0.3995,13.65
University of Montevallo,Suburban,0,0,0.6052,1131,2419,26018,13809,7623,0.6471,0.3838,0.7842,0.5788,0.054,0.3573,22.46
University of South Alabama,Urban,0,0,0.7303,1162,10544,21694,9509,7507,0.628,0.3775,0.7644,0.5294,0.063,0.393,433.05
Troy University,Small Town,0,0,0.9243,1094,15838,21251,6886,6785,0.5375,0.4695,0.7707,0.8437,0.073,0.3677,129.19
University of Alaska Fairbanks,Suburban,0,0,0.6701,1138,10220,19135,18087,9658,0.6131,0.3302,0.7816,0.2783,0.085,0.4172,114.58
Arizona State University Campus Immersion,Urban,0,0,0.8837,1207,69024,27056,12931,11250,0.7426,0.3408,0.862,0.3378,0.045,0.5028,808.5
University of Arizona,Urban,0,1,0.8513,1220,38556,27461,13699,10305,0.7784,0.2379,0.8547,0.2858,0.054,0.4497,1030.45
University of Arkansas at Little Rock,Urban,0,0,0.5604,1098,8803,20416,8062,9822,1,0.5826,0.7309,0.5062,0.062,0.3555,111.15
University of Arkansas,Urban,0,0,0.7767,1236,24838,23997,11441,9951,0.8825,0.1819,0.8471,0.4078,0.041,0.4496,1221.94
University of Arkansas at Pine Bluff,Urban,1,0,0.5966,900,2561,19541,8129,5885,0.8062,0.7609,0.7417,0.736,0.136,0.409,3.81
Arkansas State University,Urban,0,0,0.6719,1149,10627,23009,5604,7240,1,0.4327,0.7905,0.5673,0.033,0.3839,80.69
University of Central Arkansas,Urban,0,0,0.9378,1166,10179,23185,7957,7166,0.7822,0.4184,0.7884,0.5316,0.048,0.3881,37.48
Henderson State University,Small Town,0,0,0.749,1098,3809,23005,5843,6704,0.9952,0.5223,0.6089,0.535,0.048,0.4395,21.02
California Polytechnic State University-San Luis Obispo,Suburban,0,0,0.3843,1325,21736,28927,10510,10647,0.697,0.1452,0.9424,0.2681,0.007,0.5094,227.68
California State University-San Bernardino,Urban,0,1,0.7812,988,19454,19114,7112,9943,0.5066,0.6613,0.8475,0.2048,0.04,0.3778,41.65
California State Polytechnic University-Pomona,Suburban,0,1,0.6481,1134,27785,22365,7494,10677,0.4731,0.4686,0.8704,0.3107,0.026,0.5324,101.6
California State University-Chico,Urban,0,1,0.9017,1073,17604,25073,7217,9682,0.555,0.4163,0.835,0.4238,0.04,0.4593,65.29
